 OTUID	CHF0M0R1	CHF1M1R1	CHF2M1R1	CHF4M1R1	CHF6M1R1	CHF1M3R1	CHF1M3R2	CHF1M3R3	CHF2M3R1	CHF2M3R2	CHF2M3R3	CHF4M3R1	CHF4M3R2	CHF4M3R3	CHF5M3R1	CHF5M3R2	CHF5M3R3	CHF6M3R1	CHF6M3R2	CHF6M3R3	CHF1M6R1	CHF1M6R2	CHF1M6R3	CHF2M6R1	CHF2M6R2	CHF2M6R3	CHF4M6R1	CHF4M6R2	CHF4M6R3	CHF5M6R1	CHF5M6R2	CHF5M6R3	CHF6M6R1	CHF6M6R2	CHF6M6R3	XWF0M0R1	XWF1M1R1	XWF2M1R1	XWF4M1R1	XWF5M1R1	XWF6M1R1	XWF1M3R1	XWF1M3R2	XWF1M3R3	XWF2M3R1	XWF4M3R1	XWF4M3R2	XWF4M3R3	XWF5M3R1	XWF5M3R2	XWF5M3R3	XWF6M3R1	XWF6M3R2	XWF6M3R3	XWF1M6R1	XWF1M6R2	XWF1M6R3	XWF2M6R1	XWF2M6R2	XWF2M6R3	XWF4M6R1	XWF4M6R2	XWF4M6R3	XWF5M6R1	XWF5M6R2	XWF5M6R3	XWF6M6R1	XWF6M6R2	XWF6M6R3	APF0M0R1	APF1M1R1	APF1M1R2	APF1M1R3	APF2M1R1	APF2M1R2	APF2M1R3	APF4M1R1	APF4M1R2	APF4M1R3	APF5M1R1	APF5M1R2	APF5M1R3	APF6M1R1	APF6M1R2	APF6M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF2M3R1	APF2M3R2	APF2M3R3	APF5M3R1	APF4M3R1	APF4M3R2	APF4M3R3	APF5M3R2	APF5M3R3	APF6M3R1	APF6M3R2	APF6M3R3	APF1M6R1	APF1M6R3	APF2M6R1	APF2M6R2	APF2M6R3	APF4M6R1	APF4M6R2	APF4M6R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M6R2	APF6M6R3	Taxonomy	superkingdom	phylum	class	order	family	genus	species
OTU1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Kraken{genus}(100);Kraken_carinae{species}(100)	Eukaryota					Kraken	Kraken_carinae
OTU1008	0	0	0	0	0	0	0	0	128	0	0	0	147	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Saccharomycetaceae{family}(100);Kluyveromyces{genus}(100);Kluyveromyces_marxianus{species}(94)	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_marxianus
OTU1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Fungi{superkingdom}(99);Chytridiomycota{phylum}(96);Chytridiomycetes{class}(90);Rhizophydiales{order}(76);Rhizophydiaceae{family}(62);Rhizophydium{genus}(60);Rhizophydium_sp._JEL317{species}(60)	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium_sp._JEL317
OTU101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	47	45	32	0	0	3	0	0	0	0	0	0	0	0	0	0	25	36	44	0	0	0	0	18	0	0	0	0	0	49	33	22	0	0	0	0	0	Eukaryota{superkingdom}(100);Fungi{superkingdom}(67);Chytridiomycota{phylum}(61);Unassigned{class}(30);Unassigned{order}(20);Unassigned{family}(17);Unassigned{genus}(17);Unassigned{species}(17)	Eukaryota	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU1010	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	5	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);uncultured_Perkinsea{species}(64)	Eukaryota						uncultured_Perkinsea
OTU1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Fungi{superkingdom}(100);Chytridiomycota{phylum}(100);Unassigned{class}(57);Unassigned{order}(57);Unassigned{family}(57);Unassigned{genus}(56);Unassigned{species}(56)	Eukaryota	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Metazoa{superkingdom}(100);Arthropoda{phylum}(100);Calanoida{order}(100);Pseudodiaptomidae{family}(100);Pseudodiaptomus{genus}(100);Pseudodiaptomus_inopinus{species}(100)	Eukaryota	Arthropoda		Calanoida	Pseudodiaptomidae	Pseudodiaptomus	Pseudodiaptomus_inopinus
OTU1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Unassigned{superkingdom}(6);Unassigned{phylum}(5);Unassigned{order}(3);Unassigned{family}(3);Unassigned{genus}(3);Unassigned{species}(3)	Eukaryota	Unassigned		Unassigned	Unassigned	Unassigned	Unassigned
OTU1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Litostomatea{class}(99);Haptorida{order}(99);Didiniidae{family}(99);Cyclotrichium{genus}(99);Cyclotrichium_cyclokaryon{species}(99)	Eukaryota		Litostomatea	Haptorida	Didiniidae	Cyclotrichium	Cyclotrichium_cyclokaryon
OTU1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	Eukaryota{superkingdom}(100);Cercomonadida{order}(99);Heteromitidae{family}(99);Heteromita{genus}(99);Heteromita_globosa{species}(99)	Eukaryota			Cercomonadida	Heteromitidae	Heteromita	Heteromita_globosa
