	XWF0M0R1	XWF4M1R1	XWF4M3R1	XWF4M3R2	XWF4M3R3	XWF4M6R1	XWF4M6R2	XWF4M6R3	XWF1M1R1	XWF1M3R1	XWF1M3R2	XWF1M3R3	XWF1M6R1	XWF1M6R2	XWF1M6R3	XWF2M1R1	XWF2M3R1	XWF2M6R1	XWF2M6R2	XWF2M6R3	XWF5M1R1	XWF5M3R1	XWF5M3R2	XWF5M3R3	XWF5M6R1	XWF5M6R2	XWF5M6R3	XWF6M1R1	XWF6M3R1	XWF6M3R2	XWF6M3R3	XWF6M6R1	XWF6M6R2	XWF6M6R3
OTU855	0	2	3	3	7	4	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU991	114	0	0	0	24	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
OTU1538	0	0	0	50	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU395	187	157	0	0	0	233	158	179	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU803	1358	449	103	110	295	366	278	599	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	234	0	0	0	429	0	67
OTU511	1112	2035	1455	1708	1213	347	156	590	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2039	0	0	0	0	0	0
OTU762	70	0	0	48	28	19	31	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0
OTU767	3	63	84	0	25	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0
OTU137	300	56	85	264	230	41	10	0	0	1	0	0	0	0	0	1	79	0	0	0	0	0	1	1	0	0	0	52	0	0	0	0	0	0
OTU1531	37	0	0	70	0	0	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU322	91	1	10	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
OTU337	70	18	26	14	99	102	17	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	163	0	0	0	0	0	0
OTU425	0	0	18	20	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU434	214	34	125	183	147	41	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0
OTU465	25	49	2	26	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	264	101	193	281	227	27	10	22	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	69	1	0	0	0	0	0
OTU670	520	130	148	75	65	53	0	19	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	190	0	0	0	0	0	24
OTU86	64043	13718	18966	19930	12631	3504	1119	1408	377	37	7	1	34	1	1	179	1	190	2	4	6	2	3	37	1	1	8	30770	38	5	3	179	0	1
OTU740	588	990	645	840	520	134	126	392	0	2	0	0	0	0	1	0	60	0	0	0	0	0	0	0	0	0	303	945	0	0	1	0	0	151
OTU248	110	41	77	130	127	0	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
OTU277	1221	621	480	639	633	136	72	266	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	830	0	0	0	0	0	0
OTU361	0	0	66	26	2	204	109	7	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU534	5065	4386	4313	6914	6132	1222	448	1593	1	13	0	1	0	1	3	0	2	1	0	62	75	0	0	1	0	0	1	3627	0	0	0	0	0	0
OTU309	52	256	247	201	677	819	129	773	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	617	0	0	0	0	0	0
OTU510	1	43	29	231	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU547	84	0	0	43	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU571	312	230	245	548	390	32	55	56	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	314	0	92	0	0	0	0
OTU95	8999	25309	27582	33034	28339	7639	3774	6908	0	91	2	1	92	11	14	2	6	327	134	46	402	3	0	1	1	2	6	51240	1	0	9	246	0	49
OTU10	0	316	97	0	0	354	362	890	0	0	0	398	0	2	9	101	39	0	0	1	0	0	0	0	0	0	0	1582	0	0	0	0	0	0
OTU158	0	1065	0	701	25	635	172	248	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	45	0	773	0	0	1	0	0	0
OTU1718	0	0	0	0	0	135	15	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU178	34	62	0	49	0	34	26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU228	489	858	152	704	584	138	77	189	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1525	0	0	0	0	0	0
OTU282	1308	44	0	0	253	0	0	25	0	1	1	5	0	125	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
OTU304	49	318	186	385	484	100	134	497	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	399	0	0	0	0	0	0
OTU371	504	160	499	241	280	1012	841	1367	0	3	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU452	0	0	23	0	0	0	0	122	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU490	478	352	50	0	0	432	288	725	0	0	0	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1786	0	0	0	0	0	0
OTU517	2	308	0	0	47	1	557	26	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	57	1140	0	91	0	0	0	0
OTU546	47	1528	1779	980	1012	1645	644	1796	1	2	0	0	1	3	1	0	0	0	0	0	56	0	0	0	0	0	1	1572	0	0	1	220	0	0
OTU70	9	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU739	0	139	0	0	0	91	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0
OTU741	361	168	13	0	0	0	102	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	0	0	0
OTU747	0	106	0	72	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0
OTU751	122	218	0	0	0	852	296	1515	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	0	0
OTU758	107	145	53	169	39	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	1	0	0	0
OTU761	61	205	1	0	0	0	0	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0
OTU830	0	79	204	152	0	520	249	529	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU227	1728	1486	832	647	739	6614	2897	10349	0	2	1	0	190	10	17	0	1	107	123	0	171	0	0	0	0	0	2	1523	0	1	2	0	298	28
OTU340	0	30	44	9	0	220	56	272	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	364	0	0	0	0	0	0
OTU587	148	173	317	0	13	960	331	913	0	0	0	0	0	1	2	0	0	275	0	359	0	1	0	1	0	0	0	1215	0	0	0	0	559	77
OTU588	1003	3786	1555	438	2142	3344	824	3470	0	6	0	1	9	5	7	0	0	1	0	0	1	0	0	0	1	0	0	8252	0	0	0	0	0	0
OTU750	209	153	0	0	103	276	212	232	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0
OTU759	44	72	18	0	137	36	55	239	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0
OTU780	0	0	0	0	0	878	336	482	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0
