	APF0M0R1	APF4M1R1	APF4M1R2	APF4M1R3	APF4M3R1	APF4M3R2	APF4M3R3	APF4M6R1	APF4M6R2	APF4M6R3	APF1M1R1	APF1M1R2	APF1M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF1M6R1	APF1M6R3	APF2M1R1	APF2M1R2	APF2M1R3	APF2M3R1	APF2M3R2	APF2M3R3	APF2M6R1	APF2M6R2	APF2M6R3	APF5M1R1	APF5M1R2	APF5M1R3	APF5M3R1	APF5M3R2	APF5M3R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M1R1	APF6M1R2	APF6M1R3	APF6M3R1	APF6M3R2	APF6M3R3	APF6M6R2	APF6M6R3
OTU371	157	0	0	0	150	128	93	23	67	21	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU378	38	1035	476	51	81	78	45	5	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU384	16	53	23	0	0	0	0	19	67	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	187
OTU406	64	0	0	0	114	57	71	29	54	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU408	45	596	301	547	168	252	173	18	12	0	0	0	0	0	0	0	23	0	0	0	0	0	27	0	0	538	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	53
OTU418	33	0	16	0	0	64	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU422	16	0	0	607	57	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0
OTU428	21	0	495	0	83	0	90	39	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU450	5	43	111	65	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU452	23	1	48	300	601	39	96	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	197	0	0	0	0	0	2	0	0	0	0	76	0	0	0	0	0	0	0	0	0
OTU489	10	0	0	0	8	0	31	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU503	14	238	439	63	277	140	16	6	22	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU631	0	12	109	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU71	1308	1434	104	8614	16022	9403	22205	1400	2862	13277	0	0	3	2	0	5	6347	678	1	2	4	1	0	0	595	0	1	0	2	124	0	0	0	1	518	1	0	0	1	0	170	791	0	1685
OTU791	0	2262	1332	518	550	100	116	8	0	74	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	599	0	0	0	0
OTU860	0	384	178	173	355	48	88	7	19	0	0	0	0	0	0	0	0	0	1	1	0	0	116	0	0	0	0	0	1	0	0	0	0	3	159	0	0	0	0	0	0	0	0	0
OTU895	0	357	566	29	121	80	43	4	0	0	0	1	0	0	0	0	138	1	0	0	0	0	87	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU227	1122	316	1350	621	2360	2829	1282	983	1143	2509	0	3	0	0	2	1	253	564	0	0	0	0	0	0	425	1	1298	0	0	4	0	0	2	0	265	1	0	1	0	0	0	0	0	355
OTU340	162	59	66	0	287	303	188	144	123	254	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	46	0	0	0	0	0	0	64	0	0
OTU780	0	0	0	0	0	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU810	0	39	38	32	24	29	28	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
