	APF0M0R1	APF4M1R1	APF4M1R2	APF4M1R3	APF4M3R1	APF4M3R2	APF4M3R3	APF4M6R1	APF4M6R2	APF4M6R3	APF1M1R1	APF1M1R2	APF1M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF1M6R1	APF1M6R3	APF2M1R1	APF2M1R2	APF2M1R3	APF2M3R1	APF2M3R2	APF2M3R3	APF2M6R1	APF2M6R2	APF2M6R3	APF5M1R1	APF5M1R2	APF5M1R3	APF5M3R1	APF5M3R2	APF5M3R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M1R1	APF6M1R2	APF6M1R3	APF6M3R1	APF6M3R2	APF6M3R3	APF6M6R2	APF6M6R3
OTU325	14	0	40	0	0	51	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU326	28	0	166	0	0	78	14	27	0	54	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU336	451	20	97	0	394	929	768	122	286	616	82	0	0	0	0	0	14	0	0	0	0	0	155	97	0	1041	0	0	1	5	0	0	0	0	0	0	59	0	0	0	283	41	9	211
OTU341	39	42	72	54	38	68	62	24	6	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	2	0
OTU344	52	42	100	65	155	116	134	9	3	80	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU354	52	35	114	310	22	38	0	21	37	34	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU366	221	294	97	243	117	155	54	33	49	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU373	32	11	11	14	13	34	17	11	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
OTU382	32	67	63	0	0	11	15	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU388	304	161	231	284	271	307	254	84	95	289	0	1	1	6	0	9	46	0	0	1	7	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	20	0	0	38	0	0	2
OTU397	144	167	270	164	185	271	134	37	35	96	0	1	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU403	47	0	25	29	20	67	41	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU42	0	0	0	0	0	2	2	0	0	0	10	0	3	10	49	26	0	0	8	41	0	3	22	5	0	0	0	5	3	61	53	14	6	0	0	0	64	26	0	123	17	101	0	0
OTU454	30	10	43	14	31	36	22	0	14	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU472	3	0	1	0	4	8	7	4	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU518	6	0	0	0	33	0	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU80	22625	24697	23894	27132	20239	17214	14574	12071	15646	31858	3	9	15	121	886	183	1511	934	538	580	592	602	1991	1577	11670	6042	3333	143	3	101	614	431	374	4844	911	3555	407	1197	655	1420	1590	995	3061	6312
OTU396	44	0	0	2	7	0	6	2	5	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU1043	0	0	0	0	0	204	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1128	0	90	345	343	170	124	77	12	5	19	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1205	0	190	66	127	47	45	11	7	4	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1382	0	18	33	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1605	0	0	0	0	68	102	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
OTU1629	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU172	2	280	519	193	917	594	236	0	29	60	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU198	4232	5112	7013	8922	5091	4653	3475	1469	1564	2836	0	2	1	137	21	0	148	0	20	63	59	87	97	83	629	1390	139	0	0	21	0	74	13	68	115	30	52	19	39	151	1	43	84	557
OTU265	8100	329	3526	1023	3454	1950	2123	2331	3282	4577	0	3	1	1	0	0	796	0	163	0	1	85	101	158	242	76	222	0	0	15	0	0	256	1285	25	547	0	0	0	0	0	126	902	1047
OTU288	8	0	51	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU307	752	53	304	130	610	224	149	82	46	241	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	234	0	0	212	0	0	0	0	58
OTU314	1533	1097	1952	2436	1941	1266	964	485	524	1114	0	0	2	27	0	3	20	0	0	0	0	14	8	2	77	21	2	0	0	7	1	0	0	59	19	5	15	1	0	4	94	0	60	185
OTU319	213	1	0	0	0	0	59	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU320	1489	6	26	19	631	1203	734	301	448	881	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	80	0	0	0	0	0	0	0	0	0	98
OTU334	646	1149	1279	803	1682	1895	1361	245	344	885	0	0	2	0	1	0	50	83	0	0	0	0	0	0	785	0	192	0	0	10	0	95	22	0	0	0	0	0	0	317	197	8	0	207
OTU335	236	398	261	107	55	84	107	50	42	33	0	1	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	27	0	1	0	0	88
OTU345	126	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU348	803	1241	1732	1168	2377	2013	1418	372	454	1221	0	0	0	0	0	0	84	41	2	0	0	0	0	0	923	0	154	1	0	8	0	2	1	524	0	0	0	1	0	1	1	274	106	197
OTU353	295	116	155	104	547	453	311	75	104	199	0	0	0	0	0	0	0	33	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	3	0	10	0	0	2	0	0	19
OTU359	38	171	488	242	173	62	49	26	24	107	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	225	0	0	0	0	0	0	153
OTU364	294	254	327	478	261	152	118	69	69	189	0	3	1	0	0	1	0	22	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1
OTU365	255	94	204	221	110	154	177	154	34	0	0	0	0	0	0	39	0	0	50	34	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU370	441	128	418	298	469	410	311	98	97	344	0	0	0	0	0	0	0	0	34	0	0	0	0	0	594	0	0	0	0	2	0	0	0	0	35	0	0	0	0	0	136	0	0	71
OTU372	39	29	0	103	24	33	15	4	33	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU375	64	0	18	0	23	0	119	16	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU381	68	0	14	112	113	84	32	2	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU386	98	0	252	300	211	218	62	11	12	138	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU411	26	0	0	0	0	0	0	1	30	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU413	43	348	266	63	21	125	0	4	3	56	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU414	79	0	0	0	85	30	24	31	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU415	92	40	0	0	8	1	41	7	2	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU439	13	412	0	85	228	54	0	42	95	159	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU455	2	106	35	0	0	0	25	3	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU471	16	0	0	0	38	6	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
OTU476	5	316	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU495	9	0	0	0	0	6	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU500	14	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU508	17	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU521	6	13	42	1	68	13	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU68	2419	11910	17698	21193	11611	11009	6967	2978	3522	7666	3	5	13	646	218	93	967	935	2	0	2	127	229	1	1175	1901	544	0	1	44	132	146	95	10316	490	495	0	0	198	758	85	480	84	1637
OTU92	0	0	0	0	2	2	1	0	0	0	3	9	8	0	2	5	0	0	13	3	5	0	1	3	0	0	0	6	3	8	4	5	5	0	0	0	1	14	2	0	6	1	0	0
OTU96	34472	27448	26131	35466	28110	29844	25901	13076	16480	32975	268	14	17	688	884	679	1233	1132	1309	1968	3499	1580	2736	4862	7239	5819	6396	161	450	356	818	1230	118	4570	709	3422	4751	3558	3511	4659	4893	3555	3582	5965
OTU965	0	117	0	40	0	70	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU974	0	0	0	0	0	0	0	5	2	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU99	1	0	0	2	1	0	3	0	0	0	1	10	1	2	5	2	3	4	7	6	1	0	6	5	10	1	0	0	1	0	3	4	0	0	1	2	6	7	0	3	3	3	1	3
