	CHF0M0R1	CHF4M1R1	CHF4M3R1	CHF4M3R2	CHF4M3R3	CHF4M6R1	CHF4M6R2	CHF4M6R3	CHF1M1R1	CHF1M3R1	CHF1M3R2	CHF1M3R3	CHF1M6R1	CHF1M6R2	CHF1M6R3	CHF2M1R1	CHF2M3R1	CHF2M3R2	CHF2M3R3	CHF2M6R1	CHF2M6R2	CHF2M6R3	CHF5M3R1	CHF5M3R2	CHF5M3R3	CHF5M6R1	CHF5M6R2	CHF5M6R3	CHF6M1R1	CHF6M3R1	CHF6M3R2	CHF6M3R3	CHF6M6R1	CHF6M6R2	CHF6M6R3
OTU282	4138	843	343	0	259	760	702	1090	323	0	0	0	1	0	0	95	0	0	616	597	0	0	325	0	0	0	0	0	157	0	0	408	54	0	0
OTU304	36	104	0	0	81	97	54	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU371	543	19	164	0	0	208	25	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU490	72	0	0	0	0	26	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU546	0	23	0	0	0	0	58	111	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU739	0	0	69	0	33	0	110	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU765	820	195	0	1	0	93	324	265	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU800	0	0	0	0	0	0	17	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU830	109	86	0	0	0	61	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU836	1	1063	678	0	263	405	698	355	0	0	0	0	2	1	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU227	74	0	0	1	325	192	13	771	0	0	1	2	0	1	4	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0
OTU340	125	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU587	26	55	0	0	48	302	142	12	0	0	0	1	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU588	393	842	485	0	144	337	935	318	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0
OTU759	0	87	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU771	0	23	21	0	61	176	287	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU780	77	0	0	0	0	0	8	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU810	0	1	0	0	20	30	55	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU826	28	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU19	1190	1361	2714	0	1999	1229	1629	828	0	3	0	3	0	2	0	2	0	100	0	0	232	0	0	0	1	98	0	1	69	223	0	447	0	0	0
OTU1346	57	78	0	0	92	108	84	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU537	42	0	47	77	193	719	857	1072	0	0	0	0	0	0	2	0	0	0	0	0	101	577	0	0	1	0	0	0	0	239	0	0	0	0	0
OTU548	269	233	461	0	313	305	851	544	1	2	1	2	0	1	0	0	0	1	1	0	0	0	2	1	0	0	0	0	146	0	0	2	0	0	0
OTU389	0	0	0	0	6	19	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU426	6	33	29	0	7	470	708	904	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU973	0	0	0	0	0	554	492	138	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU256	932	73	1392	2	53	1139	485	59	0	0	0	1	2	66	1	116	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	78	0	0
OTU29	1	0	529	801	113	166	343	135	455	1137	568	1095	124	753	678	1	4273	495	2140	413	508	0	2241	373	4139	677	521	751	0	764	737	579	962	737	654
OTU575	1974	0	0	0	0	48	64	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU742	0	0	0	0	63	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU793	0	0	0	0	0	336	358	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU240	49	151	443	62	326	938	275	321	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
OTU566	0	35	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
